No.,単語,品詞,意味１,意味２,意味３,意味４
1,ののしる,動詞,大声で騒ぐ,評判になる,勢いが盛んである,
2,驚く（おどろく）,動詞,（はっと）気づく,目を覚ます,（現代語と同じ）驚く,
3,呼ばふ（よばふ）,動詞,求婚する・言い寄る・（男が女の所に）通う,呼び続ける,,
4,歩く（ありく）,動詞,出歩く・歩き回る・動き回る,〈動詞の連用形に付いて〉～してまわる・～し続ける,,
5,守る（まもる）,動詞,（じっと）見つめる,世話をする,,
6,居る（ゐる）,動詞,座る・留まる・住む,〈動詞の連用形に付いて〉～ている,,
7,率る（ゐる）,動詞,連れる・伴う,,,
8,眺む（ながむ）,動詞,もの思いにふける・ぼんやり見る,,,
9,詠む（ながむ）,動詞,（漢詩や和歌を）口ずさむ・吟ずる,,,
10,匂ふ（にほふ）,動詞,美しく映える・美しく咲く,香る,,
11,見る（みる）,動詞,会う・見る,世話をする,結婚する・男女の関係を結ぶ,
12,明らむ（あきらむ）,動詞,明らかにする,,,
13,学ぶ（まねぶ）,動詞,まねる・まねをする,そのまま伝える・取り次ぐ・書き記す,,
14,愛づ（めづ）,動詞,愛する・かわいがる・好む,感嘆する・ほめる,,
15,かしづく,動詞,大切に育てる,大切に扱う・大切に世話をする・後見する,,
16,見す（みす）,動詞,結婚させる・嫁がせる,見せる・見させる,,
17,見ゆ（みゆ）,動詞,見える・思われる,見られる・見せる,（女性が）結婚する,
18,覚ゆ（おぼゆ）,動詞,（自然と）思われる,似る,思い出す・思い出される,
19,聞こゆ（きこゆ）,動詞,聞こえる,評判になる・うわさされる,理解できる・わかる,
20,惑ふ（まどふ）,動詞,思い乱れる・困惑する・迷う・途方に暮れる,〈動詞の連用形に付いて〉ひどく（～する）,,
21,飽く（あく）,動詞,満足する,飽きる・いやになる,,
22,遊ぶ（あそぶ）,動詞,管弦を楽しむ,楽しく過ごす・歩き回る,,
23,悩む（なやむ）,動詞,病気になる・わずらう・苦しむ・妊娠や出産で苦しむ,,,
24,煩ふ（わづらふ）,動詞,苦労する・思い悩む,病気になる,〈動詞の連用形に付いて〉～するのに困る,
25,怠る（おこたる）,動詞,病気がよくなる,,,
26,行ふ（おこなふ）,動詞,仏道修行をする・勤行する,,,
27,厭ふ（いとふ）,動詞,嫌だと思う・嫌う,〈多くは「世をいとふ」の形で〉出家する,,
28,やつす,動詞,目立たないようにする・質素にする,出家姿に変える・出家する,,
29,侘ぶ（わぶ）,動詞,つらく思う・嘆く・困惑する,〈動詞の連用形に付いて〉～きれない・～かねる,,
30,失す（うす）,動詞,亡くなる・死ぬ,（物・人が）消える・見えなくなる,,
31,後る・遅る（おくる）,動詞,先立たれる・取り残される・死に後れる,劣る,,
32,具す（ぐす）,動詞,従う・連れる・携帯する,そなえる・そなわる・そろう,,
33,物す（ものす）,動詞,ある・いる・行く・来る・（物事を）する,〈「ものしたまふ」の形で〉いらっしゃる,,
34,念ず（ねんず）,動詞,（神仏に）祈る,我慢する,,
35,寝（ぬ）,動詞,眠る・寝る,,,
36,経（ふ）,動詞,〈時間〉過ぎる,〈場所〉通る,,
37,得（う）,動詞,手に入れる,理解する,,
38,遣る（やる）,動詞,（人を）行かせる・（物をこちらから）送る,（心の憂さなどを）晴らす,〈動詞の連用形+「やらず」の形で〉～きれない,
39,遣す（おこす）,動詞,（向こうからこちらに）よこす,〈動詞の連用形に付いて〉こちらへ～する,,
40,渡る（わたる）,動詞,移動する・通る・行く,〈動詞の連用形に付いて〉一面に（～する）,〈動詞の連用形に付いて〉～し続ける,
41,頼む（たのむ）,動詞,〈四段〉あてにする・期待する・頼りにする,〈下二段〉あてにさせる・期待させる・頼りにさせる,,
42,被く（かづく）,動詞,〈四段〉かぶる・（ほうびを）いただく,〈下二段〉かぶせる・（ほうびを）与える,,
43,をかし,形容詞,趣がある・おもしろい,すばらしい,滑稽だ・おかしい,
44,面白し（おもしろし）,形容詞,すばらしい・趣がある,興味深い・楽しい,,
45,美し（うつくし）,形容詞,かわいい・いとしい,立派だ・見事だ,,
46,愛し・悲し・哀し（かなし）,形容詞,いとしい・かわいい,悲しい・切ない,,
47,らうたし,形容詞,かわいらしい・いじらしい,,,
48,好き好きし（すきずきし）,形容詞,好色めいている・恋愛に関心が高い,風流だ・物好きだ,,
49,生めかし（なまめかし）,形容詞,若々しい・みずみずしく美しい,優美だ・上品だ,,
50,麗し（うるはし）,形容詞,端正だ・きちんとしている,美しい・立派だ・見事だ,親密だ・誠実だ,
51,大人し（おとなし）,形容詞,大人びている・ませている,思慮分別がある,年長だ・主だっている,
52,いはけなし,形容詞,幼い・子供っぽい,,,
53,いとほし,形容詞,気の毒だ・かわいそうだ,かわいい・いじらしい,,
54,めでたし,形容詞,すばらしい,よろこばしい,,
55,有り難し（ありがたし）,形容詞,めったにない・めずらしい,（めったにないほど）すばらしい,,
56,目安し（めやすし）,形容詞,（見た目の）感じがよい・親しみがある,,,
